site_id,northing,easting,dataset,quality
529,204920.075,453921.8366,agi,0.8188334257530321
530,205162.385,452424.3949,agi,0.7877406054780466
531,205261.065,453650.6137,agi,0.8998306039716784
532,205281.79,452550.4423,agi,0.8979821022443433
533,205404.005,452411.1106,agi,0.6332590233615765
534,205426.4,453144.1662,agi,0.7613924491083064
535,205466.475,453469.2167,agi,0.866859438
536,205581.365,453102.587,agi,0.809788434
537,205600.81,452568.5779,agi,0.4484088610459186
538,205896.69,450507.715,agi,0.5703264811860562
539,205957.7,449836.7478,agi,0.377495649
540,205981.29,451496.234,agi,0.8724306163552336
541,205970.045,449622.4824,agi,0.6637047806705281
542,206012.855,451204.4787,agi,0.43718568330207763
543,206032.345,451168.4749,agi,0.7030204106435141
544,206148.71,450604.0548,agi,0.6708769442747375
545,206194.3,450164.8225,agi,0.5148976308197043
546,205641.75,453038.5122,agi,0.3681345553197774
547,205853.5,452037.3436,agi,0.7029439173556797
548,206084.945,452035.2853,agi,0.6121846205422761
549,206148.725,453226.2269,agi,0.7633910350413837
550,206211.725,452497.9426,agi,0.612098101
551,206320.425,452734.4513,agi,0.8113089001911242
552,206449.18,453015.655,agi,0.6311441032646914
553,206530.485,454090.0491,agi,0.6365627829212318
554,206534.775,452698.6871,agi,0.825992162
555,206550.85,454041.7519,agi,0.5420897197274382
556,205969.975,455341.1775,agi,0.38040913707038443
557,206060.795,454688.7877,agi,0.3172696057880034
558,206133.98,454922.2631,agi,0.7530823534041715
559,206163.06,455198.3541,agi,0.6721857308120789
560,206164.44,454730.5055,agi,0.7224478608595342
