site_id,northing,easting,dataset
463,208387.225,452744.3924,agi
464,208161.75,451204.6274,agi
465,208407.965,450233.1375,agi
466,208483.875,450382.4621,agi
467,208505.1458,449382.0412,agi
468,208962.58,451129.0192,agi
469,209169.05,450510.4946,agi
470,209258.78,450839.8747,agi
471,209667.5026,448869.4817,agi
472,209711.8249,449074.6036,agi
473,209737.1227,449491.7135,agi
474,209834.0498,448503.7901,agi
475,209993.75,448764.8293,agi
476,208439.195,453017.8973,agi
477,208483.11,454134.0769,agi
478,208710.505,452679.9745,agi
479,208773.875,453000.88,agi
480,208881.38,452712.293,agi
481,208996.6,452446.7855,agi
482,209855.475,449677.4507,agi
483,209968.7994,449342.4935,agi
484,209997.09,451326.5836,agi
485,210356.56,451010.9766,agi
486,210437.63,450943.0355,agi
487,210570.25,450128.7496,agi
488,202053.275,455574.1659,agi
489,202073.415,455316.0769,agi
490,202233.58,455938.813,agi
491,202291.43,453537.6434,agi
492,202546.92,454047.6941,agi
493,202754.2,453751.7393,agi
494,202822.65,453903.9152,agi
495,202926.075,453578.6026,agi
496,203054.225,452915.686,agi
497,203305.075,452589.5184,agi
498,203448.225,452782.4633,agi
499,203472.65,453196.6306,agi
500,203659.715,454240.1906,agi
501,203820.53,453957.9382,agi
502,203890.515,453502.7585,agi
503,203048.275,455091.8782,agi
504,203106.315,454505.3465,agi
505,203228.79,454870.2429,agi
506,203319.11,454571.8708,agi
507,203435.555,454743.9037,agi
508,203554.755,454597.8999,agi
509,203644.7,454483.1731,agi
510,203680.83,454618.3497,agi
511,204408.7,455891.5708,agi
512,204476.375,455347.1775,agi
513,203896.2,453735.7048,agi
514,203933.4,454038.0496,agi
515,204055.115,451857.9025,agi
516,204134.595,454232.229,agi
517,204300.485,452087.3581,agi
518,204455.67,452808.4479,agi
519,204468.265,453563.5435,agi
520,204535.51,452216.1579,agi
521,204562.425,453145.6513,agi
522,204872.605,454164.175,agi
523,204870.375,451393.819,agi
524,205145.465,451156.1173,agi
525,205237.035,451069.1415,agi
526,205622.85,451077.8711,agi
527,205858.15,451449.0905,agi
528,204910.1,453532.6809,agi
529,204920.075,453921.8366,agi
530,205162.385,452424.3949,agi
531,205261.065,453650.6137,agi
532,205281.79,452550.4423,agi
533,205404.005,452411.1106,agi
534,205426.4,453144.1662,agi
535,205466.475,453469.2167,agi
536,205581.365,453102.587,agi
537,205600.81,452568.5779,agi
538,205896.69,450507.715,agi
539,205957.7,449836.7478,agi
540,205981.29,451496.234,agi
541,205970.045,449622.4824,agi
542,206012.855,451204.4787,agi
543,206032.345,451168.4749,agi
544,206148.71,450604.0548,agi
545,206194.3,450164.8225,agi
546,205641.75,453038.5122,agi
547,205853.5,452037.3436,agi
548,206084.945,452035.2853,agi
549,206148.725,453226.2269,agi
550,206211.725,452497.9426,agi
551,206320.425,452734.4513,agi
552,206449.18,453015.655,agi
553,206530.485,454090.0491,agi
554,206534.775,452698.6871,agi
555,206550.85,454041.7519,agi
556,205969.975,455341.1775,agi
557,206060.795,454688.7877,agi
558,206133.98,454922.2631,agi
559,206163.06,455198.3541,agi
560,206164.44,454730.5055,agi
561,206168.985,455034.8104,agi
562,206464.2245,455006.5178,agi
563,206698.255,454427.344,agi
564,206854.395,455455.3336,agi
565,206865.575,456214.7114,agi
566,206390.625,450028.2446,agi
567,206473.99,451256.669,agi
568,206914.17,450713.4691,agi
569,206994.415,451133.8764,agi
570,207145.2996,449977.3094,agi
571,207176.3,450505.3837,agi
572,207307.998,450336.1315,agi
573,207422.1253,450331.1573,agi
574,207553.95,450889.5039,agi
575,207830.6,450423.2852,agi
576,202377.385,455078.2379,agi
577,202420.445,455800.0332,agi
578,202636.17,454700.0468,agi
579,202649.2,455150.4129,agi
580,202786.795,455292.2528,agi
581,202823.115,456082.9513,agi
