,access_pt_id,site_id,has_agi,has_sac,has_sssi,is_protected,designation_count,snap_distance_m,easting,northing,geometry
192,ap_0046048,193,True,False,False,False,1,0.0,454000.3141000001,203838.29629999958,POINT (454000.3141000001 203838.29629999958)
193,ap_0046049,193,True,False,False,False,1,0.0,453999.6062000003,203838.1286999993,POINT (453999.6062000003 203838.1286999993)
194,ap_0046050,193,True,False,False,False,1,0.0,453990.60670000035,203835.9978,POINT (453990.60670000035 203835.9978)
195,ap_0046051,193,True,False,False,False,1,0.0,453989.7673000004,203835.79900000058,POINT (453989.7673000004 203835.79900000058)
196,ap_0046052,193,True,False,False,False,1,0.0,453989.62119999994,203835.76439999975,POINT (453989.62119999994 203835.76439999975)
197,ap_0046053,193,True,False,False,False,1,0.0,453910.06850000005,203810.47690000013,POINT (453910.06850000005 203810.47690000013)
198,ap_0046054,207,True,False,False,False,1,0.0,454850.69319999963,202464.87490000017,POINT (454850.69319999963 202464.87490000017)
199,ap_0046055,207,True,False,False,False,1,0.29444974706999816,454889.65050000045,202356.09100000001,POINT (454889.65050000045 202356.09100000001)
200,ap_0046056,207,True,False,False,False,1,0.0,454987.97640000004,202359.9768000003,POINT (454987.97640000004 202359.9768000003)
201,ap_0046057,207,True,False,False,False,1,0.056608117165092314,454902.4182000002,202355.14210000075,POINT (454902.4182000002 202355.14210000075)
202,ap_0046058,365,True,False,False,False,1,0.0,450477.2730999999,207900.20099999942,POINT (450477.2730999999 207900.20099999942)
203,ap_0046059,365,True,False,False,False,1,0.2389777226362152,450476.45749999955,207889.73330000043,POINT (450476.45749999955 207889.73330000043)
204,ap_0046060,365,True,False,False,False,1,0.0,450475.98790000007,207888.03079999983,POINT (450475.98790000007 207888.03079999983)
205,ap_0046061,404,True,False,False,False,1,0.4469913611536753,452701.45519999973,207639.92159999907,POINT (452701.45519999973 207639.92159999907)
206,ap_0046062,389,True,False,False,False,1,0.0,452609.1755999997,207584.99950000085,POINT (452609.1755999997 207584.99950000085)
